YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,1,27,14,676.62
2010,1,27,15,506.42
2010,1,27,16,291.18
2010,1,27,17,72.42
2010,1,27,18,0
2010,1,27,19,0
2010,1,27,20,0
2010,1,27,21,0
2010,1,27,22,0
2010,1,27,23,0
2010,1,28,0,0
2010,1,28,1,0
2010,1,28,2,0
2010,1,28,3,0
2010,1,28,4,0
2010,1,28,5,0
2010,1,28,6,0
2010,1,28,7,131.79
2010,1,28,8,347.79
2010,1,28,9,558.08
2010,1,28,10,719.22
2010,1,28,11,816.71
2010,1,28,12,844.75
2010,1,28,13,795.84
2010,1,28,14,637.52
2010,1,28,15,489.25
2010,1,28,16,283.61
2010,1,28,17,73.79
2010,1,28,18,0
2010,1,28,19,0
2010,1,28,20,0
2010,1,28,21,0
2010,1,28,22,0
2010,1,28,23,0
2010,1,29,0,0
2010,1,29,1,0
2010,1,29,2,0
2010,1,29,3,0
2010,1,29,4,0
2010,1,29,5,0
2010,1,29,6,0
2010,1,29,7,130.98
2010,1,29,8,345.68
2010,1,29,9,556.88
2010,1,29,10,719.87
2010,1,29,11,816.12
2010,1,29,12,836.34
2010,1,29,13,736.9
2010,1,29,14,551.51
2010,1,29,15,444.55
2010,1,29,16,273.09
2010,1,29,17,70.66
2010,1,29,18,0
2010,1,29,19,0
2010,1,29,20,0
2010,1,29,21,0
2010,1,29,22,0
2010,1,29,23,0
2010,1,30,0,0
2010,1,30,1,0
2010,1,30,2,0
2010,1,30,3,0
2010,1,30,4,0
2010,1,30,5,0
2010,1,30,6,0
2010,1,30,7,121.27
2010,1,30,8,319.35
2010,1,30,9,525.86
2010,1,30,10,687.23
2010,1,30,11,785.34
2010,1,30,12,766.47
2010,1,30,13,708.25
2010,1,30,14,539.84
2010,1,30,15,461.44
2010,1,30,16,246.7
2010,1,30,17,61.12
2010,1,30,18,0
2010,1,30,19,0
2010,1,30,20,0
2010,1,30,21,0
2010,1,30,22,0
2010,1,30,23,0
2010,1,31,0,0
2010,1,31,1,0
2010,1,31,2,0
2010,1,31,3,0
2010,1,31,4,0
2010,1,31,5,0
2010,1,31,6,0
2010,1,31,7,98.95
2010,1,31,8,275.2
2010,1,31,9,439.57
2010,1,31,10,640.48
2010,1,31,11,706.64
2010,1,31,12,691.33
2010,1,31,13,635.58
2010,1,31,14,558.51
