YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,8,28,10,320.49
2010,8,28,11,413.53
2010,8,28,12,327.48
2010,8,28,13,444.97
2010,8,28,14,410.17
2010,8,28,15,282.39
2010,8,28,16,174.13
2010,8,28,17,34.82
2010,8,28,18,4.49
2010,8,28,19,0
2010,8,28,20,0
2010,8,28,21,0
2010,8,28,22,0
2010,8,28,23,0
2010,8,29,0,0
2010,8,29,1,0
2010,8,29,2,0
2010,8,29,3,0
2010,8,29,4,0
2010,8,29,5,0
2010,8,29,6,8.76
2010,8,29,7,40.39
2010,8,29,8,83.54
2010,8,29,9,231.52
2010,8,29,10,389.98
2010,8,29,11,396.96
2010,8,29,12,467.91
2010,8,29,13,474.44
2010,8,29,14,406.34
2010,8,29,15,327.44
2010,8,29,16,184.91
2010,8,29,17,44.2
2010,8,29,18,6.32
2010,8,29,19,0
2010,8,29,20,0
2010,8,29,21,0
2010,8,29,22,0
2010,8,29,23,0
2010,8,30,0,0
2010,8,30,1,0
2010,8,30,2,0
2010,8,30,3,0
2010,8,30,4,0
2010,8,30,5,0
2010,8,30,6,36.51
2010,8,30,7,179.87
2010,8,30,8,369.49
2010,8,30,9,590.99
2010,8,30,10,595.02
2010,8,30,11,596.94
2010,8,30,12,721.68
2010,8,30,13,617.43
2010,8,30,14,615.25
2010,8,30,15,399.2
2010,8,30,16,287.72
2010,8,30,17,89.6
2010,8,30,18,7.73
2010,8,30,19,0
2010,8,30,20,0
2010,8,30,21,0
2010,8,30,22,0
2010,8,30,23,0
2010,8,31,0,0
2010,8,31,1,0
2010,8,31,2,0
2010,8,31,3,0
2010,8,31,4,0
2010,8,31,5,0
2010,8,31,6,29.88
2010,8,31,7,216.54
2010,8,31,8,396.34
2010,8,31,9,603.8
2010,8,31,10,678.98
2010,8,31,11,694.54
2010,8,31,12,677.7
2010,8,31,13,691.22
2010,8,31,14,654.22
2010,8,31,15,477.56
2010,8,31,16,321.59
2010,8,31,17,65.77
2010,8,31,18,7.29
2010,8,31,19,0
2010,8,31,20,0
2010,8,31,21,0
2010,8,31,22,0
2010,8,31,23,0
2010,9,1,0,0
2010,9,1,1,0
2010,9,1,2,0
2010,9,1,3,0
2010,9,1,4,0
2010,9,1,5,0
2010,9,1,6,31.53
2010,9,1,7,185.77
2010,9,1,8,390.95
2010,9,1,9,553.75
2010,9,1,10,639.18
2010,9,1,11,587.17
2010,9,1,12,586.17
2010,9,1,13,535.77
2010,9,1,14,457.54
2010,9,1,15,333.49
2010,9,1,16,163.81
2010,9,1,17,38.6
2010,9,1,18,4.33
2010,9,1,19,0
2010,9,1,20,0
2010,9,1,21,0
2010,9,1,22,0
2010,9,1,23,0
2010,9,2,0,0
2010,9,2,1,0
2010,9,2,2,0
2010,9,2,3,0
2010,9,2,4,0
2010,9,2,5,0
2010,9,2,6,15.84
2010,9,2,7,151.96
2010,9,2,8,281.6
2010,9,2,9,438.02
2010,9,2,10,617.48
2010,9,2,11,643.17
2010,9,2,12,690.86
2010,9,2,13,638.23
2010,9,2,14,496.69
2010,9,2,15,284.3
2010,9,2,16,117.86
2010,9,2,17,32.42
2010,9,2,18,5.09
2010,9,2,19,0
2010,9,2,20,0
2010,9,2,21,0
2010,9,2,22,0
2010,9,2,23,0
2010,9,3,0,0
2010,9,3,1,0
2010,9,3,2,0
2010,9,3,3,0
2010,9,3,4,0
2010,9,3,5,0
2010,9,3,6,37.98
2010,9,3,7,114.09
2010,9,3,8,257.25
2010,9,3,9,301.98
2010,9,3,10,470.64
2010,9,3,11,563.07
2010,9,3,12,541.2
2010,9,3,13,544.41
2010,9,3,14,482.28
2010,9,3,15,351.71
2010,9,3,16,168.85
2010,9,3,17,43.27
2010,9,3,18,5.25
2010,9,3,19,0
2010,9,3,20,0
2010,9,3,21,0
2010,9,3,22,0
2010,9,3,23,0
2010,9,4,0,0
2010,9,4,1,0
2010,9,4,2,0
2010,9,4,3,0
2010,9,4,4,0
2010,9,4,5,0
2010,9,4,6,18.63
2010,9,4,7,132.26
2010,9,4,8,252.62
2010,9,4,9,349.32
2010,9,4,10,460.66
2010,9,4,11,452.8
2010,9,4,12,515.52
2010,9,4,13,514.05
2010,9,4,14,574.18
2010,9,4,15,488.1
2010,9,4,16,267.82
2010,9,4,17,88.81
2010,9,4,18,6.34
2010,9,4,19,0
2010,9,4,20,0
2010,9,4,21,0
2010,9,4,22,0
2010,9,4,23,0
2010,9,5,0,0
2010,9,5,1,0
2010,9,5,2,0
2010,9,5,3,0
2010,9,5,4,0
2010,9,5,5,0
2010,9,5,6,45.84
2010,9,5,7,244.61
2010,9,5,8,468.4
2010,9,5,9,590.18
2010,9,5,10,693.86
2010,9,5,11,727.43
2010,9,5,12,712.19
2010,9,5,13,664.88
2010,9,5,14,542.63
2010,9,5,15,389.46
2010,9,5,16,263.19
2010,9,5,17,84.46
2010,9,5,18,6.57
2010,9,5,19,0
2010,9,5,20,0
2010,9,5,21,0
2010,9,5,22,0
2010,9,5,23,0
2010,9,6,0,0
2010,9,6,1,0
2010,9,6,2,0
2010,9,6,3,0
2010,9,6,4,0
2010,9,6,5,0
2010,9,6,6,38.04
2010,9,6,7,160.28
2010,9,6,8,292.12
2010,9,6,9,505.83
2010,9,6,10,779.73
2010,9,6,11,784.38
2010,9,6,12,777.52
