YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,8,22,1,0
2010,8,22,2,0
2010,8,22,3,0
2010,8,22,4,0
2010,8,22,5,0
2010,8,22,6,37.49
2010,8,22,7,150.3
2010,8,22,8,318.07
2010,8,22,9,437.3
2010,8,22,10,552.62
2010,8,22,11,569.73
2010,8,22,12,557.65
2010,8,22,13,495.66
2010,8,22,14,481.55
2010,8,22,15,396.59
2010,8,22,16,262.75
2010,8,22,17,93.25
2010,8,22,18,10.38
2010,8,22,19,0
2010,8,22,20,0
2010,8,22,21,0
2010,8,22,22,0
2010,8,22,23,0
2010,8,23,0,0
2010,8,23,1,0
2010,8,23,2,0
2010,8,23,3,0
2010,8,23,4,0
2010,8,23,5,0
2010,8,23,6,17.47
2010,8,23,7,155.36
2010,8,23,8,337.7
2010,8,23,9,487.23
2010,8,23,10,643.98
2010,8,23,11,658.88
2010,8,23,12,660.6
2010,8,23,13,691.32
2010,8,23,14,627.67
2010,8,23,15,523.22
2010,8,23,16,323.29
2010,8,23,17,107.41
2010,8,23,18,7.34
2010,8,23,19,0
2010,8,23,20,0
2010,8,23,21,0
2010,8,23,22,0
2010,8,23,23,0
2010,8,24,0,0
2010,8,24,1,0
2010,8,24,2,0
2010,8,24,3,0
2010,8,24,4,0
2010,8,24,5,0
2010,8,24,6,30.06
2010,8,24,7,161.7
2010,8,24,8,271.15
2010,8,24,9,296.11
2010,8,24,10,248.43
2010,8,24,11,278.47
2010,8,24,12,281.08
2010,8,24,13,272.22
2010,8,24,14,280.7
2010,8,24,15,239.21
2010,8,24,16,111.41
2010,8,24,17,25.36
2010,8,24,18,4
2010,8,24,19,0
2010,8,24,20,0
2010,8,24,21,0
2010,8,24,22,0
2010,8,24,23,0
2010,8,25,0,0
2010,8,25,1,0
2010,8,25,2,0
2010,8,25,3,0
2010,8,25,4,0
2010,8,25,5,0
2010,8,25,6,11.23
2010,8,25,7,117.2
2010,8,25,8,256.58
2010,8,25,9,398.41
2010,8,25,10,457.06
2010,8,25,11,543.24
2010,8,25,12,516.21
2010,8,25,13,450.62
2010,8,25,14,447.99
2010,8,25,15,341.84
2010,8,25,16,204.98
2010,8,25,17,65.45
2010,8,25,18,7.1
